Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Spreadsheet: meaning-a,Spreadsheet: meaning-b,Response,Correct,Reaction Time
18.0,13328943.0,condition-2,2.0,a6,auditory,a6hh-dosari.mp4,a6kk-katitto.mp4,a6hh-dosari.mp4,with a thud,with a thud,"click, snap",a6kk-katitto.mp4,0,46907.7000000001
18.0,13328943.0,condition-2,3.0,v7,visual,v7hh-boNyari.mp4,v7kk-kiritto.mp4,v7kk-kiritto.mp4,"crisp appearance, stiffly","crisp appearance, stiffly","dim, faint, indistinct",v7kk-kiritto.mp4,1,25476.39999999973
18.0,13328943.0,condition-2,4.0,a5,auditory,a5kk-dotabata.mp4,a5hh-sororisorori.mp4,a5kk-dotabata.mp4,"noisily, with heavy feet","noisily, with heavy feet",slowly and quietly,a5hh-sororisorori.mp4,0,16041.799999999696
18.0,13328943.0,condition-2,5.0,v9,visual,v9hh-mukumuku.mp4,v9kk-bosabosa.mp4,v9kk-bosabosa.mp4,"ruffled, disheveled","ruffled, disheveled","billowing, plump",v9kk-bosabosa.mp4,1,97432.1999999999
18.0,13328943.0,condition-2,6.0,a0,auditory,a0kk-katakata.mp4,a0hh-gosogoso.mp4,a0hh-gosogoso.mp4,with a rustling sound,"clattering, rattling",with a rustling sound,a0kk-katakata.mp4,0,31308.899999999907
18.0,13328943.0,condition-2,7.0,a1,auditory,a1kk-batyabatya.mp4,a1hh-sitosito.mp4,a1kk-batyabatya.mp4,splashing,splashing,drizzling,a1kk-batyabatya.mp4,1,26327.299999999697
18.0,13328943.0,condition-2,8.0,i9,interoceptive,i9hh-yuttari.mp4,i9kk-dokidoki.mp4,i9kk-dokidoki.mp4,with a rapid heartbeat,"comfortable, calm, relaxed",with a rapid heartbeat,i9kk-dokidoki.mp4,1,12290.799999999988
18.0,13328943.0,condition-2,9.0,i2,interoceptive,i2hh-syoboN.mp4,i2kk-ruNruN.mp4,i2hh-syoboN.mp4,"downhearted, dejected","downhearted, dejected","happy, elated, euphoric",i2hh-syoboN.mp4,1,28643.29999999999
18.0,13328943.0,condition-2,10.0,i8,interoceptive,i8kk-dokiri.mp4,i8hh-hotto.mp4,i8hh-hotto.mp4,with a feeling of relief,with a feeling of relief,"being startled, getting a shock",i8kk-dokiri.mp4,0,20998.39999999979
18.0,13328943.0,condition-2,11.0,a8,auditory,a8hh-bosori.mp4,a8kk-kyaakyaa.mp4,a8hh-bosori.mp4,"in a whisper, in a murmur","in a whisper, in a murmur","shrieking, squealing",a8hh-bosori.mp4,1,41523.90000000014
18.0,13328943.0,condition-2,12.0,v0,visual,v0hh-kukkiri.mp4,v0kk-tiratira.mp4,v0hh-kukkiri.mp4,"clearly, distinctly, sharply","flickering, fluttering","clearly, distinctly, sharply",v0hh-kukkiri.mp4,1,25077.899999999907
18.0,13328943.0,condition-2,13.0,i5,interoceptive,i5kk-harahara.mp4,i5hh-nobinobi.mp4,i5kk-harahara.mp4,"anxious, nervous","anxious, nervous","comfortable, peaceful",i5kk-harahara.mp4,1,21745.899999999678
18.0,13328943.0,condition-2,14.0,i0,interoceptive,i0hh-uNzari.mp4,i0kk-wakuwaku.mp4,i0hh-uNzari.mp4,"boredom, tedious, fed up with","boredom, tedious, fed up with","excitement, nervous",i0hh-uNzari.mp4,1,18789.40000000014
18.0,13328943.0,condition-2,15.0,a4,auditory,a4hh-zuruzuru.mp4,a4kk-poripori.mp4,a4hh-zuruzuru.mp4,with a slurp,with a slurp,"munching, crunching",a4hh-zuruzuru.mp4,1,15041.199999999952
18.0,13328943.0,condition-2,16.0,i3,interoceptive,i3kk-iraira.mp4,i3hh-sukkiri.mp4,i3kk-iraira.mp4,"to get irritated, annoyed","to get irritated, annoyed","refreshingly, with a feeling fo relief",i3kk-iraira.mp4,1,19585.099999999977
18.0,13328943.0,condition-2,17.0,v1,visual,v1hh-kurikuri.mp4,v1kk-gizagiza.mp4,v1kk-gizagiza.mp4,"jagged, serrated","jagged, serrated",big and round,v1kk-gizagiza.mp4,1,23032.099999999744
18.0,13328943.0,condition-2,18.0,v2,visual,v2kk-kirakira.mp4,v2hh-doNyori.mp4,v2hh-doNyori.mp4,"dark, gloomy","dark, gloomy","glittering, sparkling",v2hh-doNyori.mp4,1,12910.000000000116
18.0,13328943.0,condition-2,19.0,v8,visual,v8hh-marumaru.mp4,v8kk-garigari.mp4,v8hh-marumaru.mp4,"plump, rotund, chubby","very skinny, emaciated","plump, rotund, chubby",v8hh-marumaru.mp4,1,33131.59999999998
18.0,13328943.0,condition-2,20.0,i7,interoceptive,i7hh-hokkori.mp4,i7kk-zokuzoku.mp4,i7kk-zokuzoku.mp4,"shivering, feeling chilly","shivering, feeling chilly","feeling warm and fluffy, soft",i7kk-zokuzoku.mp4,1,15164.899999999674
18.0,13328943.0,condition-2,21.0,v5,visual,v5kk-nikoniko.mp4,v5hh-busuri.mp4,v5kk-nikoniko.mp4,"smilingly, with a grin","smilingly, with a grin","poutingly, displeasure",v5hh-busuri.mp4,0,34839.70000000007
18.0,13328943.0,condition-2,22.0,i4,interoceptive,i4hh-tyaNto.mp4,i4kk-dogimagi.mp4,i4hh-tyaNto.mp4,"attentive, proper attitude","attentive, proper attitude","flurried, nervous",i4hh-tyaNto.mp4,1,28746.40000000014
18.0,13328943.0,condition-2,23.0,v3,visual,v3hh-pitari.mp4,v3kk-hirahira.mp4,v3kk-hirahira.mp4,"fluttering, dangling","tightly connected, no space in between","fluttering, dangling",v3kk-hirahira.mp4,1,21703.699999999957
