Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: rated-word,Spreadsheet: rated-meaning,rating,Reaction Time
18.0,13349143.0,condition-2,28.0,v6,visual,v6hh-huNwari.mp4,"gently, airily, fluffy",7,4484.800000000047
18.0,13349143.0,condition-2,29.0,a3,auditory,a3kk-syakisyaki.mp4,"crisp, crunchy",7,4351.819999999949
18.0,13349143.0,condition-2,30.0,a7,auditory,a7kk-gisigisi.mp4,"with a creak, squeak",1,5486.160000000033
18.0,13352762.0,condition-3,1.0,i2,interoceptive,i2hk-syoboN.mp4,"downhearted, dejected",2,13187.0
18.0,13352762.0,condition-3,2.0,i5,interoceptive,i5kh-harahara.mp4,"anxious, nervous",6,12886.0
18.0,13352762.0,condition-3,3.0,i7,interoceptive,i7kh-zokuzoku.mp4,"shivering, feeling chilly",4,7911.0
18.0,13352762.0,condition-3,4.0,a7,auditory,a7kh-gisigisi.mp4,"with a creak, squeak",1,6919.0
18.0,13352762.0,condition-3,5.0,v6,visual,v6hk-huNwari.mp4,"gently, airily, fluffy",7,7107.0
18.0,13352762.0,condition-3,6.0,i1,interoceptive,i1kh-gatugatu.mp4,"ravenously, greedily",3,5306.0
18.0,13352762.0,condition-3,7.0,a4,auditory,a4hk-zuruzuru.mp4,with a slurp,2,54928.0
18.0,13352762.0,condition-3,8.0,v0,visual,v0hk-kukkiri.mp4,"clearly, distinctly, sharply",3,10300.0
18.0,13352762.0,condition-3,9.0,a1,auditory,a1kh-batyabatya.mp4,splashing,2,25387.0
18.0,13352762.0,condition-3,10.0,v8,visual,v8hk-marumaru.mp4,"plump, rotund, chubby",7,10152.0
18.0,13352762.0,condition-3,11.0,i0,interoceptive,i0hk-uNzari.mp4,"boredom, tedious, fed up with",4,7985.0
18.0,13352762.0,condition-3,12.0,v7,visual,v7kh-kiritto.mp4,"crisp appearance, stiffly",3,6898.0
18.0,13352762.0,condition-3,13.0,a2,auditory,a2hk-zyaazyaa.mp4,noisily gushing,3,7532.0
18.0,13352762.0,condition-3,14.0,v4,visual,v4hk-bissiri.mp4,"closely lined up, densely",5,7054.0
18.0,13352762.0,condition-3,15.0,v1,visual,v1kh-gizagiza.mp4,"jagged, serrated",3,5339.0
18.0,13352762.0,condition-3,16.0,a9,auditory,a9kh-sakutto.mp4,with a crunch,6,5418.0
18.0,13352762.0,condition-3,17.0,a3,auditory,a3kh-syakisyaki.mp4,"crisp, crunchy",4,5502.0
18.0,13352762.0,condition-3,18.0,i3,interoceptive,i3kh-iraira.mp4,"to get irritated, annoyed",4,6617.0
18.0,13352762.0,condition-3,19.0,v9,visual,v9kh-bosabosa.mp4,"ruffled, disheveled",5,5852.0
18.0,13352762.0,condition-3,20.0,i8,interoceptive,i8hk-hotto.mp4,with a feeling of relief,5,7404.0
18.0,13352762.0,condition-3,21.0,a0,auditory,a0hk-gosogoso.mp4,with a rustling sound,2,6638.0
18.0,13352762.0,condition-3,22.0,v2,visual,v2hk-doNyori.mp4,"dark, gloomy",2,6450.0
18.0,13352762.0,condition-3,23.0,i4,interoceptive,i4hk-tyaNto.mp4,"attentive, proper attitude",3,6796.0
18.0,13352762.0,condition-3,24.0,a8,auditory,a8hk-bosori.mp4,"in a whisper, in a murmur",3,5373.0
18.0,13352762.0,condition-3,25.0,i6,interoceptive,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner",2,6385.0
18.0,13352762.0,condition-3,26.0,v5,visual,v5kh-nikoniko.mp4,"smilingly, with a grin",5,6767.0
18.0,13352762.0,condition-3,27.0,v3,visual,v3kh-hirahira.mp4,"fluttering, dangling",3,6219.0
18.0,13352762.0,condition-3,28.0,a5,auditory,a5kh-dotabata.mp4,"noisily, with heavy feet",2,6098.0
18.0,13352762.0,condition-3,29.0,i9,interoceptive,i9kh-dokidoki.mp4,with a rapid heartbeat,3,6601.0
18.0,13352762.0,condition-3,30.0,a6,auditory,a6hk-dosari.mp4,with a thud,2,6271.0
18.0,13370221.0,condition-2,1.0,i3,interoceptive,i3kk-iraira.mp4,"to get irritated, annoyed",4,4791.5
18.0,13370221.0,condition-2,2.0,v9,visual,v9kk-bosabosa.mp4,"ruffled, disheveled",4,4635.599999976155
18.0,13370221.0,condition-2,3.0,a3,auditory,a3kk-syakisyaki.mp4,"crisp, crunchy",6,4948.600000000006
18.0,13370221.0,condition-2,4.0,i1,interoceptive,i1kk-gatugatu.mp4,"ravenously, greedily",2,5077.199999976161
18.0,13370221.0,condition-2,5.0,v0,visual,v0hh-kukkiri.mp4,"clearly, distinctly, sharply",5,5398.10000000002
18.0,13370221.0,condition-2,6.0,i2,interoceptive,i2hh-syoboN.mp4,"downhearted, dejected",3,5230.199999988079
18.0,13370221.0,condition-2,7.0,v3,visual,v3kk-hirahira.mp4,"fluttering, dangling",4,5173.800000000003
18.0,13370221.0,condition-2,8.0,a8,auditory,a8hh-bosori.mp4,"in a whisper, in a murmur",5,6514.599999999991
18.0,13370221.0,condition-2,9.0,i9,interoceptive,i9kk-dokidoki.mp4,with a rapid heartbeat,5,4830.199999964243
18.0,13370221.0,condition-2,10.0,v1,visual,v1kk-gizagiza.mp4,"jagged, serrated",3,5903.599999976155
18.0,13370221.0,condition-2,11.0,i0,interoceptive,i0hh-uNzari.mp4,"boredom, tedious, fed up with",4,11662.399999999963
18.0,13370221.0,condition-2,12.0,v7,visual,v7kk-kiritto.mp4,"crisp appearance, stiffly",4,7923.099999964237
